id,year,month,day,prcp,snow,snwd,tmax,tmin
US1NYAB0001,2009,1,1,84,122,279,NA,NA
US1NYAB0001,2009,1,2,0,0,254,NA,NA
US1NYAB0001,2009,1,3,13,18,254,NA,NA
US1NYAB0001,2009,1,4,0,0,NA,NA,NA
US1NYAB0001,2009,1,5,18,0,229,NA,NA
US1NYAB0001,2009,1,6,0,0,216,NA,NA
US1NYAB0001,2009,1,7,NA,NA,NA,NA,NA
US1NYAB0001,2009,1,8,NA,NA,NA,NA,NA
US1NYAB0001,2009,1,9,13,30,NA,NA,NA
US1NYAB0001,2009,1,10,0,0,254,NA,NA
US1NYAB0001,2009,1,11,117,155,381,NA,NA
US1NYAB0001,2009,1,12,0,0,368,NA,NA
US1NYAB0001,2009,1,13,0,0,356,NA,NA
US1NYAB0001,2009,1,14,0,0,NA,NA,NA
US1NYAB0001,2009,1,15,0,0,NA,NA,NA
US1NYAB0001,2009,1,16,0,0,NA,NA,NA
US1NYAB0001,2009,1,17,0,0,NA,NA,NA
US1NYAB0001,2009,1,18,33,25,330,NA,NA
US1NYAB0001,2009,1,19,13,13,NA,NA,NA
US1NYAB0001,2009,1,20,0,0,NA,NA,NA
US1NYAB0001,2009,1,21,0,0,NA,NA,NA
US1NYAB0001,2009,1,22,0,0,NA,NA,NA
US1NYAB0001,2009,1,23,0,0,NA,NA,NA
US1NYAB0001,2009,1,24,0,0,NA,NA,NA
US1NYAB0001,2009,1,25,0,0,330,NA,NA
US1NYAB0001,2009,1,26,0,0,NA,NA,NA
US1NYAB0001,2009,1,27,0,0,NA,NA,NA
US1NYAB0001,2009,1,28,48,46,NA,NA,NA
US1NYAB0001,2009,1,29,188,97,NA,NA,NA
US1NYAB0001,2009,1,30,8,13,NA,NA,NA
US1NYAB0001,2009,1,31,43,76,NA,NA,NA
US1NYAB0001,2009,2,1,0,0,NA,NA,NA
US1NYAB0001,2009,2,2,0,0,NA,NA,NA
US1NYAB0001,2009,2,3,0,0,NA,NA,NA
US1NYAB0001,2009,2,4,18,25,NA,NA,NA
US1NYAB0001,2009,2,5,0,0,NA,NA,NA
US1NYAB0001,2009,2,6,0,0,NA,NA,NA
US1NYAB0001,2009,2,7,0,0,NA,NA,NA
US1NYAB0001,2009,2,8,0,0,NA,NA,NA
US1NYAB0001,2009,2,9,0,0,NA,NA,NA
US1NYAB0001,2009,2,10,0,0,NA,NA,NA
US1NYAB0001,2009,2,11,0,0,NA,NA,NA
US1NYAB0001,2009,2,12,10,0,NA,NA,NA
US1NYAB0001,2009,2,13,3,0,NA,NA,NA
US1NYAB0001,2009,2,14,0,0,NA,NA,NA
US1NYAB0001,2009,2,15,0,0,NA,NA,NA
US1NYAB0001,2009,2,16,0,0,NA,NA,NA
US1NYAB0001,2009,2,17,0,0,NA,NA,NA
US1NYAB0001,2009,2,18,0,0,NA,NA,NA
US1NYAB0001,2009,2,19,107,107,NA,NA,NA
US1NYAB0001,2009,2,20,13,18,NA,NA,NA
US1NYAB0001,2009,2,21,10,43,NA,NA,NA
US1NYAB0001,2009,2,22,0,0,NA,NA,NA
US1NYAB0001,2009,2,23,20,38,NA,NA,NA
US1NYAB0001,2009,2,24,0,0,NA,NA,NA
US1NYAB0001,2009,2,25,0,0,NA,NA,NA
US1NYAB0001,2009,2,26,20,13,NA,NA,NA
US1NYAB0001,2009,2,27,0,0,NA,NA,NA
US1NYAB0001,2009,2,28,28,0,NA,NA,NA
US1NYAB0001,2009,3,1,0,0,NA,NA,NA
US1NYAB0001,2009,3,2,0,0,NA,NA,NA
US1NYAB0001,2009,3,3,38,76,NA,NA,NA
US1NYAB0001,2009,3,4,0,0,NA,NA,NA
US1NYAB0001,2009,3,5,0,0,NA,NA,NA
US1NYAB0001,2009,3,6,0,0,NA,NA,NA
US1NYAB0001,2009,3,7,0,0,NA,NA,NA
US1NYAB0001,2009,3,8,48,NA,0,NA,NA
US1NYAB0001,2009,3,9,173,0,0,NA,NA
US1NYAB0001,2009,3,10,109,25,25,NA,NA
US1NYAB0001,2009,3,11,102,0,0,NA,NA
US1NYAB0001,2009,3,12,15,0,0,NA,NA
US1NYAB0001,2009,3,13,0,0,0,NA,NA
US1NYAB0001,2009,3,14,0,0,0,NA,NA
US1NYAB0001,2009,3,15,0,0,0,NA,NA
US1NYAB0001,2009,3,16,0,0,0,NA,NA
US1NYAB0001,2009,3,17,0,0,0,NA,NA
US1NYAB0001,2009,3,18,0,0,0,NA,NA
US1NYAB0001,2009,3,19,117,0,0,NA,NA
US1NYAB0001,2009,3,20,3,0,0,NA,NA
US1NYAB0001,2009,3,21,0,0,0,NA,NA
US1NYAB0001,2009,3,22,0,0,0,NA,NA
US1NYAB0001,2009,3,23,0,0,0,NA,NA
US1NYAB0001,2009,3,24,0,0,0,NA,NA
US1NYAB0001,2009,3,25,0,0,0,NA,NA
US1NYAB0001,2009,3,26,0,0,0,NA,NA
US1NYAB0001,2009,3,27,53,0,0,NA,NA
US1NYAB0001,2009,3,28,0,0,0,NA,NA
US1NYAB0001,2009,3,29,23,0,0,NA,NA
US1NYAB0001,2009,3,30,53,0,0,NA,NA
US1NYAB0001,2009,3,31,36,0,0,NA,NA
US1NYAB0001,2009,4,1,0,0,0,NA,NA
US1NYAB0001,2009,4,2,8,0,0,NA,NA
US1NYAB0001,2009,4,3,0,0,0,NA,NA
US1NYAB0001,2009,4,4,155,0,0,NA,NA
US1NYAB0001,2009,4,5,0,0,0,NA,NA
US1NYAB0001,2009,4,6,0,0,0,NA,NA
US1NYAB0001,2009,4,7,53,0,0,NA,NA
US1NYAB0001,2009,4,8,3,0,0,NA,NA
US1NYAB0001,2009,4,9,5,0,0,NA,NA
US1NYAB0001,2009,4,10,0,0,0,NA,NA
US1NYAB0001,2009,4,11,30,0,0,NA,NA
US1NYAB0001,2009,4,12,0,0,0,NA,NA
US1NYAB0001,2009,4,13,0,0,0,NA,NA
US1NYAB0001,2009,4,14,0,0,0,NA,NA
US1NYAB0001,2009,4,15,0,0,0,NA,NA
US1NYAB0001,2009,4,16,0,0,0,NA,NA
US1NYAB0001,2009,4,17,0,0,0,NA,NA
US1NYAB0001,2009,4,18,0,0,0,NA,NA
US1NYAB0001,2009,4,19,8,0,0,NA,NA
US1NYAB0001,2009,4,20,0,0,0,NA,NA
US1NYAB0001,2009,4,21,69,0,0,NA,NA
US1NYAB0001,2009,4,22,48,0,0,NA,NA
US1NYAB0001,2009,4,23,3,0,0,NA,NA
US1NYAB0001,2009,4,24,0,0,0,NA,NA
US1NYAB0001,2009,4,25,0,0,0,NA,NA
US1NYAB0001,2009,4,26,0,0,0,NA,NA
US1NYAB0001,2009,4,27,5,0,0,NA,NA
US1NYAB0001,2009,4,28,0,0,0,NA,NA
US1NYAB0001,2009,4,29,3,0,0,NA,NA
US1NYAB0001,2009,4,30,0,0,0,NA,NA
US1NYAB0001,2009,5,1,13,0,0,NA,NA
US1NYAB0001,2009,5,2,25,0,NA,NA,NA
US1NYAB0001,2009,5,3,0,0,NA,NA,NA
US1NYAB0001,2009,5,4,0,0,NA,NA,NA
US1NYAB0001,2009,5,5,0,NA,NA,NA,NA
US1NYAB0001,2009,5,6,53,NA,NA,NA,NA
US1NYAB0001,2009,5,7,66,NA,NA,NA,NA
US1NYAB0001,2009,5,8,0,0,NA,NA,NA
US1NYAB0001,2009,5,9,10,NA,NA,NA,NA
US1NYAB0001,2009,5,10,74,NA,NA,NA,NA
US1NYAB0001,2009,5,11,0,0,NA,NA,NA
US1NYAB0001,2009,5,12,0,0,NA,NA,NA
US1NYAB0001,2009,5,13,0,0,NA,NA,NA
US1NYAB0001,2009,5,14,0,NA,NA,NA,NA
US1NYAB0001,2009,5,15,74,NA,NA,NA,NA
US1NYAB0001,2009,5,16,0,0,NA,NA,NA
US1NYAB0001,2009,5,17,117,NA,NA,NA,NA
US1NYAB0001,2009,5,18,0,0,NA,NA,NA
US1NYAB0001,2009,5,19,0,0,NA,NA,NA
US1NYAB0001,2009,5,20,0,0,NA,NA,NA
US1NYAB0001,2009,5,21,0,0,NA,NA,NA
US1NYAB0001,2009,5,22,0,0,NA,NA,NA
US1NYAB0001,2009,5,23,0,0,NA,NA,NA
US1NYAB0001,2009,5,24,0,0,NA,NA,NA
US1NYAB0001,2009,5,25,0,0,NA,NA,NA
US1NYAB0001,2009,5,26,0,0,NA,NA,NA
US1NYAB0001,2009,5,27,244,NA,NA,NA,NA
US1NYAB0001,2009,5,28,3,NA,NA,NA,NA
US1NYAB0001,2009,5,29,109,NA,NA,NA,NA
US1NYAB0001,2009,5,30,23,NA,NA,NA,NA
US1NYAB0001,2009,5,31,NA,NA,NA,NA,NA
US1NYAB0001,2009,6,1,0,NA,NA,NA,NA
US1NYAB0001,2009,6,2,0,0,NA,NA,NA
US1NYAB0001,2009,6,3,0,0,NA,NA,NA
US1NYAB0001,2009,6,4,0,0,NA,NA,NA
US1NYAB0001,2009,6,5,0,0,NA,NA,NA
US1NYAB0001,2009,6,6,0,0,NA,NA,NA
US1NYAB0001,2009,6,7,0,0,NA,NA,NA
US1NYAB0001,2009,6,8,0,0,NA,NA,NA
US1NYAB0001,2009,6,9,119,NA,NA,NA,NA
US1NYAB0001,2009,6,10,25,NA,NA,NA,NA
US1NYAB0001,2009,6,11,0,NA,NA,NA,NA
US1NYAB0001,2009,6,12,109,NA,NA,NA,NA
US1NYAB0001,2009,6,13,10,NA,NA,NA,NA
US1NYAB0001,2009,6,14,236,NA,NA,NA,NA
US1NYAB0001,2009,6,15,109,NA,NA,NA,NA
US1NYAB0001,2009,6,16,25,NA,NA,NA,NA
US1NYAB0001,2009,6,17,0,0,NA,NA,NA
US1NYAB0001,2009,6,18,145,NA,NA,NA,NA
US1NYAB0001,2009,6,19,170,NA,NA,NA,NA
US1NYAB0001,2009,6,20,3,NA,NA,NA,NA
US1NYAB0001,2009,6,21,142,NA,NA,NA,NA
US1NYAB0001,2009,6,22,13,NA,NA,NA,NA
US1NYAB0001,2009,6,23,0,0,NA,NA,NA
US1NYAB0001,2009,6,24,0,0,NA,NA,NA
US1NYAB0001,2009,6,25,0,0,NA,NA,NA
US1NYAB0001,2009,6,26,0,0,NA,NA,NA
US1NYAB0001,2009,6,27,152,NA,NA,NA,NA
US1NYAB0001,2009,6,28,41,NA,NA,NA,NA
US1NYAB0001,2009,6,29,3,NA,NA,NA,NA
US1NYAB0001,2009,6,30,0,0,NA,NA,NA
US1NYAB0001,2009,7,1,168,NA,NA,NA,NA
US1NYAB0001,2009,7,2,671,NA,NA,NA,NA
US1NYAB0001,2009,7,3,38,NA,NA,NA,NA
US1NYAB0001,2009,7,4,91,NA,NA,NA,NA
US1NYAB0001,2009,7,5,0,NA,NA,NA,NA
US1NYAB0001,2009,7,6,0,0,NA,NA,NA
US1NYAB0001,2009,7,7,41,NA,NA,NA,NA
US1NYAB0001,2009,7,8,145,NA,NA,NA,NA
US1NYAB0001,2009,7,9,3,NA,NA,NA,NA
US1NYAB0001,2009,7,10,0,0,NA,NA,NA
US1NYAB0001,2009,7,11,0,0,NA,NA,NA
US1NYAB0001,2009,7,12,38,NA,NA,NA,NA
US1NYAB0001,2009,7,13,0,0,NA,NA,NA
US1NYAB0001,2009,7,14,0,0,NA,NA,NA
US1NYAB0001,2009,7,15,0,0,NA,NA,NA
US1NYAB0001,2009,7,16,5,NA,NA,NA,NA
US1NYAB0001,2009,7,17,94,NA,NA,NA,NA
US1NYAB0001,2009,7,18,168,NA,NA,NA,NA
US1NYAB0001,2009,7,19,0,0,NA,NA,NA
US1NYAB0001,2009,7,20,0,0,NA,NA,NA
US1NYAB0001,2009,7,21,0,0,NA,NA,NA
US1NYAB0001,2009,7,22,61,NA,NA,NA,NA
US1NYAB0001,2009,7,23,13,NA,NA,NA,NA
US1NYAB0001,2009,7,24,0,0,NA,NA,NA
US1NYAB0001,2009,7,25,66,NA,NA,NA,NA
US1NYAB0001,2009,7,26,NA,NA,NA,NA,NA
US1NYAB0001,2009,7,27,NA,NA,NA,NA,NA
US1NYAB0001,2009,7,28,NA,NA,NA,NA,NA
US1NYAB0001,2009,7,29,NA,NA,NA,NA,NA
US1NYAB0001,2009,7,30,NA,NA,NA,NA,NA
US1NYAB0001,2009,7,31,NA,NA,NA,NA,NA
US1NYAB0001,2009,8,1,NA,NA,NA,NA,NA
US1NYAB0001,2009,8,2,0,0,NA,NA,NA
US1NYAB0001,2009,8,3,10,NA,NA,NA,NA
US1NYAB0001,2009,8,4,0,0,NA,NA,NA
US1NYAB0001,2009,8,5,0,0,NA,NA,NA
US1NYAB0001,2009,8,6,0,0,NA,NA,NA
US1NYAB0001,2009,8,7,0,0,NA,NA,NA
US1NYAB0001,2009,8,8,0,0,NA,NA,NA
US1NYAB0001,2009,8,9,0,0,NA,NA,NA
US1NYAB0001,2009,8,10,30,NA,NA,NA,NA
US1NYAB0001,2009,8,11,10,NA,NA,NA,NA
US1NYAB0001,2009,8,12,0,0,NA,NA,NA
US1NYAB0001,2009,8,13,0,0,NA,NA,NA
US1NYAB0001,2009,8,14,0,0,NA,NA,NA
US1NYAB0001,2009,8,15,0,0,NA,NA,NA
US1NYAB0001,2009,8,16,0,0,NA,NA,NA
US1NYAB0001,2009,8,17,0,0,NA,NA,NA
US1NYAB0001,2009,8,18,0,0,NA,NA,NA
US1NYAB0001,2009,8,19,61,NA,NA,NA,NA
US1NYAB0001,2009,8,20,13,NA,NA,NA,NA
US1NYAB0001,2009,8,21,0,0,NA,NA,NA
US1NYAB0001,2009,8,22,391,NA,NA,NA,NA
US1NYAB0001,2009,8,23,102,NA,NA,NA,NA
US1NYAB0001,2009,8,24,15,NA,NA,NA,NA
US1NYAB0001,2009,8,25,0,0,NA,NA,NA
US1NYAB0001,2009,8,26,0,0,NA,NA,NA
US1NYAB0001,2009,8,27,5,NA,NA,NA,NA
US1NYAB0001,2009,8,28,0,0,NA,NA,NA
US1NYAB0001,2009,8,29,216,NA,NA,NA,NA
US1NYAB0001,2009,8,30,89,NA,NA,NA,NA
US1NYAB0001,2009,8,31,0,0,NA,NA,NA
US1NYAB0001,2009,9,1,0,0,NA,NA,NA
US1NYAB0001,2009,9,2,0,0,NA,NA,NA
US1NYAB0001,2009,9,3,0,0,NA,NA,NA
US1NYAB0001,2009,9,4,0,0,NA,NA,NA
US1NYAB0001,2009,9,5,0,0,NA,NA,NA
US1NYAB0001,2009,9,6,0,NA,NA,NA,NA
US1NYAB0001,2009,9,7,0,0,NA,NA,NA
US1NYAB0001,2009,9,8,0,0,NA,NA,NA
US1NYAB0001,2009,9,9,0,0,NA,NA,NA
US1NYAB0001,2009,9,10,0,0,NA,NA,NA
US1NYAB0001,2009,9,11,0,0,NA,NA,NA
US1NYAB0001,2009,9,12,147,NA,NA,NA,NA
US1NYAB0001,2009,9,13,20,NA,NA,NA,NA
US1NYAB0001,2009,9,14,0,0,NA,NA,NA
US1NYAB0001,2009,9,15,0,0,NA,NA,NA
US1NYAB0001,2009,9,16,0,0,NA,NA,NA
US1NYAB0001,2009,9,17,0,0,NA,NA,NA
US1NYAB0001,2009,9,18,0,0,NA,NA,NA
US1NYAB0001,2009,9,19,0,0,NA,NA,NA
US1NYAB0001,2009,9,20,0,0,NA,NA,NA
US1NYAB0001,2009,9,21,0,0,NA,NA,NA
US1NYAB0001,2009,9,22,0,0,NA,NA,NA
US1NYAB0001,2009,9,23,0,0,NA,NA,NA
US1NYAB0001,2009,9,24,3,NA,NA,NA,NA
US1NYAB0001,2009,9,25,0,0,NA,NA,NA
US1NYAB0001,2009,9,26,0,0,NA,NA,NA
US1NYAB0001,2009,9,27,112,NA,NA,NA,NA
US1NYAB0001,2009,9,28,160,NA,NA,NA,NA
US1NYAB0001,2009,9,29,3,NA,NA,NA,NA
US1NYAB0001,2009,9,30,46,NA,NA,NA,NA
US1NYAB0001,2009,10,1,13,NA,NA,NA,NA
US1NYAB0001,2009,10,2,5,NA,NA,NA,NA
US1NYAB0001,2009,10,3,30,NA,NA,NA,NA
US1NYAB0001,2009,10,4,5,NA,NA,NA,NA
US1NYAB0001,2009,10,5,0,0,NA,NA,NA
US1NYAB0001,2009,10,6,10,NA,NA,NA,NA
US1NYAB0001,2009,10,7,38,NA,NA,NA,NA
US1NYAB0001,2009,10,8,58,NA,NA,NA,NA
US1NYAB0001,2009,10,9,0,0,NA,NA,NA
US1NYAB0001,2009,10,10,33,NA,NA,NA,NA
US1NYAB0001,2009,10,11,0,0,NA,NA,NA
US1NYAB0001,2009,10,12,0,0,NA,NA,NA
US1NYAB0001,2009,10,13,43,NA,NA,NA,NA
US1NYAB0001,2009,10,14,10,NA,NA,NA,NA
US1NYAB0001,2009,10,15,0,0,NA,NA,NA
US1NYAB0001,2009,10,16,0,3,0,NA,NA
US1NYAB0001,2009,10,17,0,0,0,NA,NA
US1NYAB0001,2009,10,18,0,0,NA,NA,NA
US1NYAB0001,2009,10,19,0,0,NA,NA,NA
US1NYAB0001,2009,10,20,0,0,NA,NA,NA
US1NYAB0001,2009,10,21,0,0,NA,NA,NA
US1NYAB0001,2009,10,22,0,0,NA,NA,NA
US1NYAB0001,2009,10,23,0,0,NA,NA,NA
US1NYAB0001,2009,10,24,112,NA,NA,NA,NA
US1NYAB0001,2009,10,25,211,NA,NA,NA,NA
US1NYAB0001,2009,10,26,0,0,NA,NA,NA
US1NYAB0001,2009,10,27,0,0,NA,NA,NA
US1NYAB0001,2009,10,28,61,NA,NA,NA,NA
US1NYAB0001,2009,10,29,343,NA,NA,NA,NA
US1NYAB0001,2009,10,30,3,NA,NA,NA,NA
US1NYAB0001,2009,10,31,0,0,NA,NA,NA
US1NYAB0001,2009,11,1,64,NA,NA,NA,NA
US1NYAB0001,2009,11,2,0,0,NA,NA,NA
US1NYAB0001,2009,11,3,0,0,NA,NA,NA
US1NYAB0001,2009,11,4,0,0,NA,NA,NA
US1NYAB0001,2009,11,5,0,0,NA,NA,NA
US1NYAB0001,2009,11,6,20,NA,NA,NA,NA
US1NYAB0001,2009,11,7,0,0,NA,NA,NA
US1NYAB0001,2009,11,8,0,0,NA,NA,NA
US1NYAB0001,2009,11,9,0,0,NA,NA,NA
US1NYAB0001,2009,11,10,0,0,NA,NA,NA
US1NYAB0001,2009,11,11,0,0,NA,NA,NA
US1NYAB0001,2009,11,12,0,0,NA,NA,NA
US1NYAB0001,2009,11,13,0,0,NA,NA,NA
US1NYAB0001,2009,11,14,104,NA,NA,NA,NA
US1NYAB0001,2009,11,15,163,NA,NA,NA,NA
US1NYAB0001,2009,11,16,0,0,NA,NA,NA
US1NYAB0001,2009,11,17,0,0,NA,NA,NA
US1NYAB0001,2009,11,18,0,0,NA,NA,NA
US1NYAB0001,2009,11,19,0,0,NA,NA,NA
US1NYAB0001,2009,11,20,188,NA,NA,NA,NA
US1NYAB0001,2009,11,21,0,0,NA,NA,NA
US1NYAB0001,2009,11,22,0,0,NA,NA,NA
US1NYAB0001,2009,11,23,0,0,NA,NA,NA
US1NYAB0001,2009,11,24,0,NA,NA,NA,NA
US1NYAB0001,2009,11,25,0,0,NA,NA,NA
US1NYAB0001,2009,11,26,20,NA,NA,NA,NA
US1NYAB0001,2009,11,27,0,0,NA,NA,NA
US1NYAB0001,2009,11,28,8,NA,NA,NA,NA
US1NYAB0001,2009,11,29,0,NA,NA,NA,NA
US1NYAB0001,2009,11,30,0,0,NA,NA,NA
US1NYAB0001,2009,12,1,10,NA,NA,NA,NA
US1NYAB0001,2009,12,2,0,0,NA,NA,NA
US1NYAB0001,2009,12,3,193,NA,NA,NA,NA
US1NYAB0001,2009,12,4,3,NA,NA,NA,NA
US1NYAB0001,2009,12,5,0,0,NA,NA,NA
US1NYAB0001,2009,12,6,122,175,165,NA,NA
US1NYAB0001,2009,12,7,0,0,NA,NA,NA
US1NYAB0001,2009,12,8,0,0,140,NA,NA
US1NYAB0001,2009,12,9,213,178,267,NA,NA
US1NYAB0001,2009,12,10,91,36,NA,NA,NA
US1NYAB0001,2009,12,11,0,0,NA,NA,NA
US1NYAB0001,2009,12,12,0,0,NA,NA,NA
US1NYAB0001,2009,12,13,0,0,203,NA,NA
US1NYAB0001,2009,12,14,97,25,NA,NA,NA
US1NYAB0001,2009,12,15,0,0,NA,NA,NA
US1NYAB0001,2009,12,16,0,0,NA,NA,NA
US1NYAB0001,2009,12,17,3,8,NA,NA,NA
US1NYAB0001,2009,12,18,0,0,NA,NA,NA
US1NYAB0001,2009,12,19,0,0,NA,NA,NA
US1NYAB0001,2009,12,20,0,0,NA,NA,NA
US1NYAB0001,2009,12,21,0,0,NA,NA,NA
US1NYAB0001,2009,12,22,0,0,NA,NA,NA
US1NYAB0001,2009,12,23,0,0,NA,NA,NA
US1NYAB0001,2009,12,24,13,33,NA,NA,NA
US1NYAB0001,2009,12,25,NA,NA,NA,NA,NA
US1NYAB0001,2009,12,26,NA,NA,NA,NA,NA
US1NYAB0001,2009,12,27,NA,NA,NA,NA,NA
US1NYAB0001,2009,12,28,0,0,NA,NA,NA
US1NYAB0001,2009,12,29,3,5,NA,NA,NA
US1NYAB0001,2009,12,30,0,0,NA,NA,NA
US1NYAB0001,2009,12,31,0,0,NA,NA,NA
US1NYAB0001,2010,1,1,33,28,NA,NA,NA
US1NYAB0001,2010,1,2,28,84,NA,NA,NA
US1NYAB0001,2010,1,3,56,58,NA,NA,NA
US1NYAB0001,2010,1,4,38,38,NA,NA,NA
US1NYAB0001,2010,1,5,0,0,NA,NA,NA
US1NYAB0001,2010,1,6,0,0,NA,NA,NA
US1NYAB0001,2010,1,7,0,0,NA,NA,NA
US1NYAB0001,2010,1,8,0,0,NA,NA,NA
US1NYAB0001,2010,1,9,36,51,NA,NA,NA
US1NYAB0001,2010,1,10,0,0,NA,NA,NA
US1NYAB0001,2010,1,11,0,0,NA,NA,NA
US1NYAB0001,2010,1,12,0,0,NA,NA,NA
US1NYAB0001,2010,1,13,0,0,NA,NA,NA
US1NYAB0001,2010,1,14,0,0,NA,NA,NA
US1NYAB0001,2010,1,15,0,0,NA,NA,NA
US1NYAB0001,2010,1,16,0,0,NA,NA,NA
US1NYAB0001,2010,1,17,0,0,NA,NA,NA
US1NYAB0001,2010,1,18,226,178,NA,NA,NA
US1NYAB0001,2010,1,19,0,0,NA,NA,NA
US1NYAB0001,2010,1,20,8,23,NA,NA,NA
US1NYAB0001,2010,1,21,5,10,NA,NA,NA
US1NYAB0001,2010,1,22,0,0,NA,NA,NA
US1NYAB0001,2010,1,23,0,0,NA,NA,NA
US1NYAB0001,2010,1,24,0,0,NA,NA,NA
US1NYAB0001,2010,1,25,15,0,NA,NA,NA
US1NYAB0001,2010,1,26,221,0,NA,NA,NA
